Dog Racing;course de chiens
thoroughbred (horse);pur-sang (cheval)
thoroughbred horse;cheval de race
three-centered arch;arc à trois centres
three-piece suit;costume trois pièces
three-quarter binding;reliure trois quarts
three-way switch;commutateur à trois voies
threshing machine;batteuse (machine)
throat protector;protège-gorge
throne;trône
thrower;lanceur
thumb;pouce
thumbtack;punaise
thunderer (whistle/noisemaker);crécelle sifflet
ticket collector;collecteur de billets
ticking fabric;tissu à matelas
tidal basin;bassin de marée
tie rod;tirant
tiger;tigre
tightrope walker;funambule
tightrope walking;funambulisme
tigress;tigresse
tile;tuile
timber;bois de construction
time-switch;interrupteur horaire
timepiece;horloge montre
timer;minuteur
tin;étain
tine (forked object);dent (objet fourchu)
tinfoil;papier aluminium
tinsmith;ferblantier
tire chain;chaîne de pneu
tithe barn;grange dîmière
titrator apparatus;appareil de titration
toastrack;porte-toast
tobacco pouch;blague à tabac
tobacco shop;boutique de tabac
tobogganing;luge
toby jug;cruche
toetoe;austroderia (plante)
toga cloak;toge cape
toilet;toilette
toilet paper;papier toilette
toilet seat;siège de toilette
toiletry;toilette
tokamak chamber;chambre torique tokamak
token;jeton
tollbooth;péage
tomahawk;tomahawk (hache)
tongue depressor;abaisse-langue
tool;outil
toolshed;remise à outils
toothed whale;baleine à dents
toothpick;cure-dent
topgallant mast (of sailship);mât perroquet (voilier)
topgallant sail (of sailship);voile perroquet (voilier)
topiary (garden);topiaire (jardin)
topknot (hairdress);chignon (coiffure)
topmast (sail ship);mât de hune (voilier)
tor (rocky hill);sommet rocheux
torpedo;torpille
torpedo-boat destroyer;destroyer torpilleur
torture chamber;chambre de torture
touch football;touch rugby (sport)
touring car;voiture de tourisme
tow truck;dépanneuse
towel;serviette
towel rack;porte-serviette
towel rail;porte serviette
tower;tour
town crier;crieur public
town hall;mairie
town house;maison de ville
toy box;coffre à jouets
toy poodle;caniche jouet
track and field;athlétisme
tracked vehicle;véhicule à chenilles
tract house;pavillon (maison)
traction engine;locomobile
tractor;tracteur
trade magazine;magazine professionnel
traffic cop;agent de la circulation
trail bike;vélo de piste
trailer;bande annonce
trailer truck;camion remorque
train;train
Train (Exterior);train (extérieur)
Train (Exteror);train (extérieur)
Train (Interior);train (intérieur)
training ship;navire-école
tramline;ligne de tram
tramway;tramway
transept (of church);transept (église)
transit instrument;transit (instrument)
transmission line;ligne de transmission
transmission shaft;arbre de transmission
transom (window);vasistas
transom window;vasistas
transport;transport
transport ship;navire de transport
trap;piège
trap door;trappe
trapeze;trapèze
trash can;poubelle
traveler;voyageur
traveling bag;sac de voyage
trawl net;filet de chalut
trawler;chalutier
tray;plateau
tray cloth;napperon
treasure chest;coffre au trésor
tree;arbre
Tree Farm;exploitation forestière
Tree House;cabane dans les arbres
tree squirrel;écureuil
trefoil arch;arc en trèfle
trellis (supporting structure for planst);treille
trepan (surgical instrument);trépan (instrument chirurgical)
trestle bridge;pont sur chevalets
trestle support structure;structure de chevalet
triangle;triangle
triceratops (dinosaur);tricératops (dinosaure)
trichina worm;ver trichine
trichodesmium (bacteria);trichodesmium (bactéries)
tricorn (cocked hat);tricorne (chapeau)
tricycle;tricycle
trident;trident
trilobite (extinct creature);trilobite (arthropode)
triode;triode
tripod;trépied
trireme ship;trirème (bateau)
triskele;triskèle
triumphal arch;arc de triomphe
trivet stand;dessous-de-plat
troika;troïka
trombone (tube musical instrument);trombone (instrument de musique)
trooper;cavalier
troopship;transport de troupes
trophy case;vitrine (meuble)
trotting horse;cheval de trot
trough;abreuvoir
trough (container);bac (conteneur)
trouser;pantalon
trousseau (bridal outfit);trousseau
trowel;truelle
truck;camion
true frog;grenouille
truffle;truffe
trumpet;trompette
trumpet arch;arc brisé
trumpeter (musician);trompettiste (musicien)
trumpeter swan;cygne trompette
truncated cone;cône tronqué
truncated pyramid;pyramide tronquée
truss (of bridge);treillis (de pont)
truss bridge;pont à treillis
try square;équerre
tsetse fly;mouche tsé-tsé
tub;cuve
tudor arch;arc Tudor
Tudor arch;arc Tudor
tumble-dryer;sèche-linge
tumbler pigeon;pigeon
tumbleweed;virevoltant (plante)
tun cask;tonneau
tuna;thon
tundra;toundra
tuning fork;diapason
turban;turban
turbogenerator;turbogénérateur
turbojet engine;turboréacteur
Turk's head;bonnet turc
turnbuckle;ridoir
turnstile;tourniquet
turntable;platine tourne-disque
turret;tourelle
turret clock;horloge de tour
turtleneck;col roulé
tusker;éléphant
twill weave;serge (tissu)
twin;jumeau
twist drill;foret hélicoïdal
two-piece suit;costume deux pièces
typewriter;machine à écrire
typewriter carriage;chariot de machine à écrire
typewriter keyboard;clavier de machine à écrire
typhoid bacillus;bacille typhoïde
typist;dactylographe
uke (guitar);ukelélé (guitare)
umbrella;parapluie
undergarment;sous-vêtement
underpants;caleçon
underwear;sous-vêtements
uneven parallel bars;barres asymétriques
unicycle;monocycle
unicyclist;cycliste
uniform;uniforme
uniformed military officer;officier militaire en uniforme
university;université
Unknown Soldier;soldat inconnu
upholstery;tapisserie
upholstery material;matériau de rembourrage
upholstery needle;aiguille d'ameublement
Urban Canal;canal urbain
utensil;ustensile
Uzi submachine gun;mitraillette Uzi
vacuum tube;tuyau d'aspirateur
Valenciennes lace;dentelle de Valenciennes
valley;vallée
valve;soupape
vampire bat;chauve-souris vampire
van;van
vane;girouette
varietal;cépage
variola major (in human beings);virus de la variole majeure
vault;voûte
vegetable;légume
Vegetable Garden;potager
vehicle;véhicule
vein;veine
veld;veld (savane)
velocipede (bicycle);vélocipède (vélo)
velociraptor (dinosaur);vélociraptor (dinosaure)
vending machine;distributeur automatique
veneer;vernis
Venetian blind;store vénitien
Venn diagram;diagramme de Venn
ventilator;ventilateur
veranda;véranda
verdigris (green coating);vert-de-gris
vernier caliper;pied à coulisse
vernier scale;vernier (mesure)
vertical file;armoire à dossiers
vertical stabilizer;dérive (empennage)
vertical tail;dérive (empennage)
very important person;personne très importante
vespid wasp;guêpe vespidé
vessel;navire
vest;gilet
vest pocket;poche de gilet
vestment;vêtement
viaduct;viaduc
vial;ampoule
vibist (musician);vibiste (musicien)
vibraphone;vibraphone
Victrola gramaphone;gramophone Victrola
video display;affichage vidéo
video recording;enregistrement vidéo
videocassette;cassette vidéo
videodisk;vidéodisque
videotape;cassette vidéo
viewfinder;viseur
vigil light;veilleuse
villa;villa
Village;village
Vineyard;vignoble
viola da gamba;viole de gambe
violin;violon
violist;altiste
visual display unit;moniteur vidéo
vitamin;vitamine
vodka;vodka
volcanic crater;cratère volcanique
volcano;volcan
volleyball;volley-ball
volleyball net;filet de volleyball
voltaic pile;pile voltaïque
voltmeter;voltmètre
von Neumann machine;machine de von Neumann
voting booth;isoloir
voussoir (stone building block);voussoir (pierre de taille)
Vouvray;vouvray
vulture;vautour
waders (waterproof boots);cuissardes (bottes imperméables)
wagon;wagon
wagon wheel;roue de wagon
wainscot wood panels;panneaux de bois lambris
wainscoting wood panels;panneaux de bois lambris
waiter;serveur
waitress;serveuse
walk-up apartment;immeuble sans ascenseur
walker;marcheur
walking stick;canne
wall;mur
wall bracket;support mural
wall clock;horloge murale
wall tent;tente murale
wall unit;applique murale
wallet;portefeuille
walrus mustache;moustache Walrus
wanderer;vagabond
Wankel rotary engine;moteur rotatif Wankel
wapiti;wapiti
war room;salle de guerre
wardrobe;garde-robe
wardroom;salle des gardes
warplane;avion de guerre
warship;navire de guerre
washbasin;lavabo
washboard;planche à laver
washer;machine à laver
Washer and Dryer;machine à laver et sèche-linge
washhouse;lavoir
washroom;toilettes
washtub;baquet
wasp;guêpe
wastepaper basket;corbeille
watch;montre
watch cap;couvercle de montre
watch chain;chaîne de montre
watchdog;chien de garde
watchtower;tour de guet
Water;eau
water buffalo;buffle d'eau
water bug;Belostomatidae (insecte aquatique)
water closet;toilettes (WC)
water faucet;robinet
water flea;Cladocères (puce d'eau)
water heater;chauffe-eau
water jump;toboggan aquatique
water meter;compteur à eau
water mill;moulin à eau
water pipe (hookah);pipe à eau (narguilé)
water polo;water polo
water ski;ski nautique
water snake;serpent d'eau
water sport;sport d'eau
Water Structure;construction aquatique
water tank;réservoir d'eau
water tower;château d'eau
water-base paint;peinture à base d'eau
water-cooled reactor;réacteur à eau
water-skiing;ski nautique
water-soluble vitamin;vitamine soluble dans l'eau
watercourse;cours d'eau
watercraft;embarcation
Waterfalls;cascades
waterfowl;sauvagine (oiseau aquatique)
waterfront;front de mer
Watering Hole;abreuvoir
waterside;riverain
waterspout;trombe
Waterway;voie navigable
waterwheel;roue à aubes
wattmeter;wattmètre
wave;vague
weapon;arme
weaponry;armes
weapons carrier;Weapons Carrier (véhicule militaire)
weather satellite;satellite météorologique
weathercock;girouette
weatherman;météorologue
web;web
web site;site web
webbing;sangles
wedding;mariage
wedding celebration;cérémonie de mariage
weed;cannabis
weighing machine;balance
weir dam;barrage
welder's mask;masque de soudeur
welwitschia (strap like leaves);Welwitschia (plante)
west/south asian;Asie du Sud-Ouest
western lowland dweller;habitant du far west
wet bar;bar
whale;baleine
whaleboat;baleinière
Wheat Field;champ de blé
wheel;roue
wheelchair;fauteuil roulant
wheeled vehicle;véhicule à roues
wheelhouse;timonerie
whey;petit lait
whiffletree;timon
whinstone;roche
whip;fouet
whipping post;poteau de supplice
whiskey;whisky
whiskey bottle;bouteille de whisky
whiskey jug;cruche à whisky
whistle;sifflet
white;blanc
white blood cell;globule blanc
white goods;électroménager
white wine;vin blanc
whiteface (clown);clown blanc
whitewash;peinture à la chaux
wickerwork;vannerie
wicket;guichet
wickiup (hut);wigwam (cabane)
wig;perruque
wigwam;wigwam
wild dog;chien sauvage
wild donkey;âne sauvage
wildcat;chat sauvage
wildebeest;gnou
Wildfire;incendies
Wilton carpet;tapis Wilton
winch;treuil
Winchester rifle;fusil Winchester
wind gauge;anémomètre
wind instrument;instrument à vent
wind turbine;éolienne
windbreak;brise-vent
windmill;moulin à vent
window;fenêtre
window box;jardinière
window envelope;enveloppe à fenêtre
window frame;chassis de fenêtre
window sash;ouvrant de fenêtre
window screen;moustiquaire de fenêtre
window seat;siège côté fenêtre
windowsill;rebord de fenêtre
windshield;pare-brise
windshield wiper;essuie-glace
Windsor chair;chaise Windsor
wine;vin
wine bottle;bouteille de vin
wine bucket;seau à vin
wine cellar;cave à vin
wine merchant;marchand de vin
wineglass;verre de vin
winepress;pressoir
wineskin;outre
wing;aile
wiper;essuie-glace
wire;câble
wire cutter;coupe-fil
wireless telegraphy;télégraphie sans fil
witness box;barre des témoins
wolf;loup
wolfhound dog;chien loup
woman;femme
woman in white;femme en blanc
woman soldier;soldate
woman with bag;femme avec sac
woman with headdress;femme avec coiffe
woman with scarf;femme avec foulard
womans underwear;sous-vêtements féminin
womens underwear;sous-vêtements féminin
wood;bois
wood ant;fourmi rousse des bois
wood file;lime à bois
wood grain;fil du bois
wood with hole;bois percé
woodborer;bûcheron
wooden board;planche de bois
wooden leg;jambe de bois
woodgraining;travail du bois
woodland caribou;caribou des bois
woodshed;bûcheron
woodwind;bois (instrument de musique)
woodworm;ver du bois
woofer loudspeaker;woofer (haut-parleur)
wordbook;lexique
work-clothing;vêtements de travail
worker;ouvrier
working dog;chien de travail
workman;ouvrier
workroom;salle de travail
worktable;table de travail
worm;ver
worm fence;clôture en zigzag
wrapping;emballage
wreck;épave
wren;troglodyte (oiseau)
wrench;clé (outil)
wringer;essoreuse
wrist pin;axe de bielle
writing desk;bureau
writing table;table d'écriture
written document;document écrit
X-ray film;film radiographique
X-ray machine;machine à rayons X
X-ray tube;tube à rayons X
xenolith (rock);xénolithe (roche)
yagi antenna;antenne Yagi
yak;yak
Yard;cour
yardarm;cour de triage
yardstick;mètre pliant
yarmulke (skull cap);yarmulke (kippa)
yawl (sailing ship);yawl (voilier)
yawl boat;yawl (voilier)
yearling;yearling (cheval d'un an)
yearling horse;yearling (cheval d'un an)
yeast;levure
young lady;jeune femme
young man;jeune homme
young woman;jeune femme
Yquem;yquem
yurt (dwelling);yourte (habitation)
Zamboni  (ice smoothing vehicle in icericks);Zamboni (surfaceuse à glace)
zebrawood tree;zebrano (arbre)
zebu (ox);zébu (boeuf)
Zen Garden;jardin zen
ziggurat (ancient temple);ziggourat (ancien temple)
zither (muscial stringed instrument);cithare (instrument à cordes)
zither (musical stringed instrument);cithare (instrument à cordes)
zodiac;zodiaque
zoospore (spores);zoospore (spores)
zoot suit;zoot suit
alabaster color;albâtre
alizarine red color;rouge alizarine
ash grey color;gris cendré
azure color;azur (couleur)
beige color;beige
black color;noir
blue color;bleu
bottle green color;vert bouteille
brick red color;rouge brique
carnation color;oeillet (couleur)
charcoal color;charbon (couleur)
chestnut color;noisette (couleur)
chocolate color;chocolat (couleur)
claret red color;rouge bordeaux (couleur)
coal black color;noir charbon
copper color;cuivre (couleur)
crimson color;pourpre
dark red color;rouge foncé
emerald color;émeraude (couleur)
gray color;gris
green color;vert
greenishness color;verdâtre
Indian red color;rouge indien
ivory color;ivoire (couleur)
jade green color;vert de jade
lemon yellow color;jaune citron
light brown color;marron clair
maroon color;marron
olive color;olive (couleur)
olive green color;vert olive
orange color;orange (couleur)
pale yellow color;jaune pâle
pink color;rose (couleur)
purple color;violet
reddish brown color;brun rougeâtre
reddish orange color;orange rougeâtre
rose color;rose pâle
sage green color;vert sauge
sanguine (red) color;sanguine (rouge)
sea green color;vert d'eau
steel blue color;bleu acier
tan color;havane (couleur)
tyrian purple color;pourpre tyrien
ultramarine color;bleu outremer
yellow color;jaune
olive color;olive
olive green color;vert olive
sage green color;sauge
sea green color;vert d'eau
